"time","species","weight","N"
14.2,"Sandeel",0.001,6853574002643.51
14.3,"Sandeel",0.001,6853294553083.86
14.4,"Sandeel",0.001,6853009630198.33
14.5,"Sandeel",0.001,6852724921549.2
14.6,"Sandeel",0.001,6852446189770.6
14.7,"Sandeel",0.001,6852179119491.96
14.8,"Sandeel",0.001,6851929162538.28
14.9,"Sandeel",0.001,6851701389314.78
15,"Sandeel",0.001,6851500353993.15
15.1,"Sandeel",0.001,6851329980107.78
15.2,"Sandeel",0.001,6851193471598.35
15.3,"Sandeel",0.001,6851093252419.08
15.4,"Sandeel",0.001,6851030935803.33
15.5,"Sandeel",0.001,6851007322323.58
15.6,"Sandeel",0.001,6851022424173.71
15.7,"Sandeel",0.001,6851075511728.38
15.8,"Sandeel",0.001,6851165177476.28
15.9,"Sandeel",0.001,6851289411929.49
16,"Sandeel",0.001,6851445686101.57
16.1,"Sandeel",0.001,6851631035609.53
16.2,"Sandeel",0.001,6851842142320.8
16.3,"Sandeel",0.001,6852075410611.35
16.4,"Sandeel",0.001,6852327036549.12
16.5,"Sandeel",0.001,6852593069478.75
16.6,"Sandeel",0.001,6852869466389.24
16.7,"Sandeel",0.001,6853152139994.77
16.8,"Sandeel",0.001,6853437001635.33
16.9,"Sandeel",0.001,6853719999988.52
17,"Sandeel",0.001,6853997156321.89
17.1,"Sandeel",0.001,6854264596775.24
17.2,"Sandeel",0.001,6854518582081.55
17.3,"Sandeel",0.001,6854755535274.31
17.4,"Sandeel",0.001,6854972068258.58
17.5,"Sandeel",0.001,6855165008525.06
17.6,"Sandeel",0.001,6855331427603.11
17.7,"Sandeel",0.001,6855468672926.77
17.8,"Sandeel",0.001,6855574404528.93
17.9,"Sandeel",0.001,6855646637369.76
18,"Sandeel",0.001,6855683789217.4
18.1,"Sandeel",0.001,6855684732969.27
18.2,"Sandeel",0.001,6855648851287.63
18.3,"Sandeel",0.001,6855576090565.24
18.4,"Sandeel",0.001,6855467010625.14
18.5,"Sandeel",0.001,6855322826222.1
18.6,"Sandeel",0.001,6855145436331.98
18.7,"Sandeel",0.001,6854937437352.54
18.8,"Sandeel",0.001,6854702116672.66
18.9,"Sandeel",0.001,6854443423615.2
19,"Sandeel",0.001,6854165915579.58
19.1,"Sandeel",0.001,6853874678367.97
19.2,"Sandeel",0.001,6853575221203.52
19.3,"Sandeel",0.001,6853273348779.06
19.4,"Sandeel",0.001,6852975014643.96
19.5,"Sandeel",0.001,6852686162087.81
19.6,"Sandeel",0.001,6852412560116.28
19.7,"Sandeel",0.001,6852159642890.97
19.8,"Sandeel",0.001,6851932360974.58
19.9,"Sandeel",0.001,6851735051891.77
20,"Sandeel",0.001,6851571336016.32
20.1,"Sandeel",0.001,6851444041849.05
20.2,"Sandeel",0.001,6851355162606.72
20.3,"Sandeel",0.001,6851305843923.22
20.4,"Sandeel",0.001,6851296400546.11
20.5,"Sandeel",0.001,6851326358315.75
20.6,"Sandeel",0.001,6851394516522.43
20.7,"Sandeel",0.001,6851499025008.96
20.8,"Sandeel",0.001,6851637470160.17
20.9,"Sandeel",0.001,6851806964205.84
21,"Sandeel",0.001,6852004233021
21.1,"Sandeel",0.001,6852225698733.74
21.2,"Sandeel",0.001,6852467554780.67
21.3,"Sandeel",0.001,6852725832379.33
21.4,"Sandeel",0.001,6852996458516.51
21.5,"Sandeel",0.001,6853275306329.59
21.6,"Sandeel",0.001,6853558239126.3
21.7,"Sandeel",0.001,6853841149285.54
21.8,"Sandeel",0.001,6854119993041.75
21.9,"Sandeel",0.001,6854390821856.14
22,"Sandeel",0.001,6854649810892.92
22.1,"Sandeel",0.001,6854893285156.95
22.2,"Sandeel",0.001,6855117744121.59
22.3,"Sandeel",0.001,6855319886094.48
22.4,"Sandeel",0.001,6855496633973.17
22.5,"Sandeel",0.001,6855645164256.54
22.6,"Sandeel",0.001,6855762941061.09
22.7,"Sandeel",0.001,6855847756388.45
22.8,"Sandeel",0.001,6855897777041.25
22.9,"Sandeel",0.001,6855911597512.03
23,"Sandeel",0.001,6855888297044.39
